Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1.74587e+08,1.73639e+08,1.72846e+08,0.113196
1,1.74587e+08,1.74071e+08,1.72793e+08,0.173121
2,1.74587e+08,1.74145e+08,1.73349e+08,0.251625
3,1.74587e+08,1.74365e+08,1.73737e+08,0.315257
4,1.74587e+08,1.74477e+08,1.73978e+08,0.363383
5,1.74587e+08,1.74506e+08,1.74267e+08,0.401476
6,1.74587e+08,1.74526e+08,1.74339e+08,0.45457
7,1.74587e+08,1.74556e+08,1.74467e+08,0.512333
8,1.74587e+08,1.74554e+08,1.7437e+08,0.559594
9,1.74587e+08,1.74564e+08,1.74384e+08,0.599203
10,1.74587e+08,1.74561e+08,1.74439e+08,0.6592
